Hotel Name,Ratings,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46
Zest International Hotel,,Security,Bar/Lounge,24 Electricity,Adequate Parking,Luggage Storage,Room Service,DSTV,Refrigerator,Flatscreen TV,Air Conditioning,King sized bed,concierge,Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagos Oriental Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak Springs Hotel,6.2,Laundry,Flatscreen TV,Electric Fence,Air Conditioning,Restaurant,Bar/Lounge,Internet Facilities,Security,Sofa,King sized bed,Study Desk,Multiple Channels cable TV,Adequate Parking,Car Hire,Business Centre,Room Service,Gym,Swimming Pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christabel Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylva link hotel,7.5,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,DSTV,HiTV,Television,Security Guard,Laundry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels.ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bannex Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bannex Hotel (Poolside 3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Tree Hotel & Suites Ltd,6,Restaurant,Bar/Lounge,Air Conditioning,24 Electricity,Luggage Storage,Event Hall,Handicap Accessible,Clothing Iron,Wake Up Service,Banquet Hall,Room service(limited hours),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean Breeze Hotel & Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairview hotel,,Bar/Lounge,Security,Air Conditioning,24 Electricity,Adequate Parking,DSTV,Telephone,Flatscreen TV,Restaurant,Sofa,Fenced compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Carat Hotel And Business Suits,5.4,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,Adequate Parking,Study Desk,Sofa,Flatscreen TV,Private Bathroom,King sized bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rochester hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celebrity hotels festac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockview hotels,6.5,Restaurant,Bar/Lounge,Security,Wired Internet,Air Conditioning,24 Electricity,Adequate Parking,Event Hall,Room Service,DSTV,Air Conditioning,Telephone,Refrigerator,Toiletries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mainland Hotel,2.2,Restaurant,Bar/Lounge,Wireless Internet,Luggage Storage,Valet Parking,Adequate Parking Space,24 hours Electricity,Gym,Car Hire,Airline Booking office,Live Band Entertainment,Room service 24h,Laundry,concierge,24 hour Front Desk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Western Starfire Hotel,7.4,Restaurant,Bar/Lounge,Security,Wireless Internet,24 Electricity,Swimming Pool,Television,Security Guard,Breakfast,Airport transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radisson Blu Hotel Lagos Ikeja,10,Free parking,Free WiFi,Airport transportation,Fitness facilities,Dry cleaning/laundry service,Concierge,ATM,Business Centre,Sauna,Desk,Ironing,Air Conditioning,Coffee Tea Maker,Restaurant,Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel 1960,,Bar/Lounge,Security,Wireless Internet,Adequate Parking,Luggage Storage,Air Conditioning,DSTV,King sized bed,Bathtub,Room Service,House Keeping,Water heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheraton Lagos Hotel,6.7,Restaurant,Bar/Lounge,Security,Wireless Internet,Wired Internet,24 Electricity,Event Hall,Air Conditioning,Tennis court,Swimming Pool,Desk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Western Plus Lagos Ikeja Hotel,6.3,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,Event Hall,Business Centre,Dry Cleaning,Adequate Parking,Meeting Rooms,Swimming Pool,Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rightgate Hotel & Suites,9.9,Security,Adequate Parking,Free WiFi,24 hour Front Desk,Room service 24h,Air Conditioning,Television,Telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodridge Hotel,,Restaurant,Bar/Lounge,Security,Air Conditioning,24 Electricity,Adequate Parking,House Keeping,Room Service,Refrigerator,Television,Toiletries,Study Desk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brooklyn hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golfview Hotel & Suites,8.1,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,Adequate Parking,Luggage Storage,Business Centre,Valet Parking,Business Center,Dry Cleaning,Clothing Iron,24 hours Electricity,Bar,Gym,Car Hire,Swimming Pool,Airport pickup,Room Service,Air Conditioning,Breakfast,Security Guard,ATM,Laundry,concierge,Babysitting,,,,,,,,,,,,,,,,,,,,
Suru Express Hotel,6.3,Adequate Parking Space,Security,Air Conditioning,24 hours Electricity,Gym,Airport transportation,Safe,Laundry,Dry Cleaning,Business Centre,Car Hire,Room Service,Ironing,Wi-fi Internet Access,Bar/Lounge,Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Skyline Hotel,5.4,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,Event Hall,Adequate Parking,Flatscreen TV,King sized bed,Inter Comm Telephone,Double bed,Bathtub,Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knightsbridge Hotel.,7.9,Bar/Lounge,Security,Air Conditioning,24 Electricity,Adequate Parking,Toiletries,DSTV,CCTV camera,King sized bed,Wi-fi Internet Access,Sofa,Fenced compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBIS Hotel gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SCORES, 17 Alade Avenue, Opposite Airport Hote...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protea Hotel Ikeja,8,Restaurant,Wireless Internet,Air Conditioning,24 Electricity,Adequate Parking,Swimming Pool,DSTV,24 hours Electricity,24 hour Front Desk,Quite Neighbourhood,Ironing,Security,Gym,Wardrobe,Wi-fi Internet Access,Bathtub,Flatscreen TV,Fenced compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knight's Bridge Hotel,7.9,Bar/Lounge,Security,Air Conditioning,24 Electricity,Adequate Parking,Toiletries,DSTV,CCTV camera,King sized bed,Wi-fi Internet Access,Sofa,Fenced compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New world hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regent Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R/A Ciity Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radisson Blu Ikeja Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starfire Hotel,7.4,Restaurant,Bar/Lounge,Security,Wireless Internet,24 Electricity,Swimming Pool,Television,Security Guard,Breakfast,Airport transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Genesis Hotel, The Sojourner, GRA Ikeja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Da Ritz Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richbeth Hotel,,Restaurant,Bar/Lounge,Security,Air Conditioning,24 Electricity,Adequate Parking,Breakfast,Room service 24h,Fitness facilities,Flatscreen TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Western Hotel,7.4,Restaurant,Bar/Lounge,Security,Wireless Internet,24 Electricity,Swimming Pool,Television,Security Guard,Breakfast,Airport transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shangcheng hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Heights Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De-Renaissance Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access Hotel,2.5,Bar/Lounge,Security,Air Conditioning,Adequate Parking,Parking Garage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westown Hotel,6.6,Restaurant,Bar/Lounge,Security,Air Conditioning,24 Electricity,Adequate Parking,Luggage Storage,Event Hall,Parking Garage,Electronic Room Keys,Coffee Tea Maker,Indoor Pool,Adequate Parking Space,24 hours Electricity,DSTV,HiTV,Air Conditioning,Climate Control,Fitness facilities,Car rental,Flatscreen TV,Laundry,,,,,,,,,,,,,,,,,,,,,,,,
Protea Hotel by Marriott Ikeja Select,10,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,Adequate Parking,Swimming Pool,DSTV,Room service 24h,Room service(limited hours),Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Ritz Hotel,8.1,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,Event Hall,Swimming Pool,Security Guard,Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheers Hotel and Suites,7.7,Restaurant,Wireless Internet,Air Conditioning,24 Electricity,DSTV,Adequate Parking,Laundry,Swimming Pool,Wardrobe,Room service 24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurant @ Protea Hotel Ikeja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillcrest Hotel,,Security,Wired Internet,Air Conditioning,24 Electricity,Adequate Parking,Refrigerator,Television,Bathtub,Multiple Channels cable TV,Fitness facilities,Business Centre,CCTV camera,Bar/Lounge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Hotel & Resort,10,Restaurant,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,Adequate Parking,Luggage Storage,Elevator/Lift,Event Hall,Business Centre,24 hours Electricity,Bar,Gym,Swimming Pool,Airport pickup,Fitness facilities,Flatscreen TV,Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adna Hotel,,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,Luggage Storage,Dry Cleaning,Clothing Iron,24 hours Electricity,Bar,Car Hire,Swimming Pool,Airport pickup,Daily newspaper,Room Service,Air Conditioning,Breakfast,Laundry,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Bellissimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Real Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limeridge Hotel,7.5,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,Adequate Parking,Luggage Storage,24 hours Electricity,Gym,Conference facility,Swimming Pool,Daily newspaper,Room Service,DSTV,Air Conditioning,In-room safe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limeridge Hotel Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicon Hotel,7.1,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,Adequate Parking,Swimming Pool,Flatscreen TV,Breakfast,Sofa,Wardrobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada Hotel & Suites,7.2,Swimming Pool,Bar/Lounge,DSTV,24 Electricity,Adequate Parking,Room Service,Air Conditioning,Flatscreen TV,King sized bed,Luggage Storage,Restaurant,Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Southern Hotel,,Restaurant,Bar/Lounge,Security,Air Conditioning,Fitness facilities,Flatscreen TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protea hotel Lekki,8.5,Adequate Parking Space,Security,Security Guard,Air Conditioning,24 hours Electricity,Swimming Pool,Air Conditioning,Safe,Laundry,Dry Cleaning,Business Centre,Car Hire,Room service 24h,Ironing,Event Hall,concierge,Luggage Storage,Bar/Lounge,Breakfast,Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,
East Gate Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakwood Park Hotel,7.7,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,Adequate Parking,In House Dining,Swimming Pool,Conference facility,King sized bed,Fenced compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protea Hotel Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicon Hotel,7.1,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,Adequate Parking,Swimming Pool,Flatscreen TV,Breakfast,Sofa,Wardrobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Ripples Hotel,,Air Conditioning,Desk,Multiple Channels cable TV,Wireless Internet,Restaurant,Bar/Lounge,Sofa,Wardrobe,24 hour Front Desk,Toiletries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lekki Oxford Hotel,6.5,Restaurant,Bar/Lounge,Wireless Internet,24 Electricity,House Keeping,Room Service,DSTV,Air Conditioning,Refrigerator,Desk,Television,Toiletries,Security Guard,Room service 24h,Flatscreen TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennisula hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lipstick hotel/bar,,Adequate Parking,Luggage Storage,Air Conditioning,Toiletries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orchid Hotels,5.9,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,Adequate Parking,Swimming Pool,Sofa,King sized bed,In House Dining,Lawn Tennis,Event Hall,Tennis court,Conference facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waje Hotels,5.6,Bar/Lounge,Security,Air Conditioning,Parking Garage,Make Up Mirror,Wardrobe,Inter Comm Telephone,Restaurant,Television,Sofa,Private Bathroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orchid Hotels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel De James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sycomore Hotels,7.4,Restaurant,Bar/Lounge,Gift Shop,Security,Air Conditioning,24 Electricity,Adequate Parking,Luggage Storage,Event Hall,Parking Garage,Indoor Pool,Swimming Pool,24 hours Electricity,Bar,Gym,House Keeping,Room Service,DSTV,Air Conditioning,Telephone,Refrigerator,Private Bathroom,Desk,Television,Toiletries,Adequate Parking Space,Swimming Pool,King sized bed,Bush Bar,Study Desk,Make Up Mirror,Inter Comm Telephone,Children's Playground,Banking services,Security Guard,Room service 24h,Fitness facilities,Flatscreen TV,Laundry,Tennis court,CCTV camera,24 hour Front Desk,Multiple Channels cable TV,Proximity to Main Road,Convenience Shop,Free parking
Etal Hotel & Halls - Dining Hall,7.6,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,Adequate Parking,Luggage Storage,Elevator/Lift,Event Hall,Swimming Pool,CCTV camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy International Hotel,,Adequate Parking,Air Conditioning,24 hours Electricity,Wi-fi Internet Access,Airport transportation,Safe,Dry Cleaning,Laundry,Ironing,Event Hall,Swimming Pool,Gym,Security Guard,Bar/Lounge,Pool Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carliza Hotel,7.1,Restaurant,Bar/Lounge,Security,Wireless Internet,24 Electricity,Air Conditioning,Telephone,Safe,Wardrobe,Flatscreen TV,Room Service,DSTV,Swimming Pool,POS,Key Card system,Event Hall,Laundry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karma Hotel - Indian Cuisine Restaurant,3.6,Restaurant,Bar/Lounge,Security,Air Conditioning,24 Electricity,Flatscreen TV,Sofa,Study Desk,Adequate Parking,Private Bathroom,Make Up Mirror,Refrigerator,King sized bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Lawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicery Hotel,5.4,Restaurant,Security,Luggage Storage,Room Service,Air Conditioning,Laundry,Flatscreen TV,Elevator/Lift,24 hours Electricity,Key Card system,POS,CCTV camera,DSTV,concierge,Kitchen,Taxi Pickup,Wi-fi Internet Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karma Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Landers Hotel Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
